,word,semcor cluster,dominant label,percentage dominance,no_semcor_clusters,pos labels
0, act ,1,VERB,0.6,4,['VERB' 'NOUN' 'NOUN' 'VERB' 'VERB']
1, act ,2,NOUN,0.5714285714285714,4,['NOUN' 'NOUN' 'NOUN' 'PROPN' 'PROPN' 'VERB' 'NOUN']
2, act ,3,NOUN,1.0,4,['NOUN' 'NOUN']
3, address ,2,NOUN,1.0,3,['NOUN' 'NOUN']
4, answer ,1,NOUN,0.5454545454545454,4,"['NOUN' 'NOUN' 'VERB' 'VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'NOUN' 'NOUN'
 'NOUN']"
5, answer ,2,NOUN,1.0,4,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
6, answer ,3,NOUN,1.0,4,['NOUN' 'NOUN' 'NOUN']
7, arms ,1,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
8, attack ,1,NOUN,1.0,5,['NOUN' 'NOUN']
9, attack ,2,NOUN,1.0,5,['NOUN' 'NOUN' 'NOUN']
10, back ,1,ADV,0.6071428571428571,5,"['VERB' 'ADV' 'ADV' 'ADV' 'NOUN' 'NOUN' 'NOUN' 'ADJ' 'ADV' 'ADV' 'ADJ'
 'ADP' 'ADJ' 'ADV' 'ADV' 'NOUN' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV'
 'ADV' 'ADJ' 'ADV' 'ADV' 'NOUN']"
11, back ,2,ADV,0.6,5,['ADV' 'NOUN' 'ADV' 'NOUN' 'ADV' 'NOUN' 'ADV' 'ADV' 'ADV' 'NOUN']
12, back ,3,ADV,0.875,5,['ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'NOUN' 'ADV' 'ADV']
13, back ,4,ADV,1.0,5,['ADV' 'ADV' 'ADV']
14, back ,5,ADV,0.8,5,['ADV' 'ADP' 'ADV' 'ADV' 'ADV']
15, bank ,1,NOUN,0.75,3,['PROPN' 'NOUN' 'NOUN' 'NOUN']
16, bank ,2,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN']
17, battle ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
18, battle ,2,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN']
19, bear ,8,VERB,0.6666666666666666,3,['VERB' 'NOUN' 'VERB']
20, blast ,1,NOUN,1.0,2,['NOUN' 'NOUN']
21, block ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN']
22, book ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
23, book ,2,NOUN,1.0,2,['NOUN' 'NOUN']
24, brush ,1,NOUN,0.6666666666666666,3,['NOUN' 'VERB' 'NOUN']
25, brush ,3,VERB,1.0,3,['VERB' 'VERB']
26, catch ,1,VERB,0.5,2,['VERB' 'NOUN']
27, charge ,2,NOUN,1.0,3,['NOUN' 'NOUN']
28, charge ,5,NOUN,1.0,3,['NOUN' 'NOUN']
29, cold ,1,ADJ,1.0,2,['ADJ' 'ADJ' 'ADJ' 'ADJ' 'ADJ' 'ADJ' 'ADJ' 'ADJ' 'ADJ']
30, cold ,2,ADJ,0.75,2,['ADJ' 'NOUN' 'ADJ' 'ADJ']
31, color ,1,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
32, cut ,1,VERB,0.6,3,['VERB' 'NOUN' 'VERB' 'VERB' 'NOUN']
33, cut ,2,VERB,1.0,3,['VERB' 'VERB' 'VERB' 'VERB']
34, dance ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN']
35, dance ,2,VERB,1.0,2,['VERB' 'VERB']
36, design ,1,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN']
37, design ,2,NOUN,1.0,3,['NOUN' 'NOUN']
38, die ,1,VERB,0.7777777777777778,2,['VERB' 'VERB' 'NOUN' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB']
39, double ,1,ADJ,0.6666666666666666,3,['ADJ' 'NOUN' 'ADJ' 'ADJ' 'ADJ' 'NOUN' 'ADJ' 'ADV' 'ADJ']
40, double ,2,ADJ,1.0,3,['ADJ' 'ADJ' 'ADJ']
41, double ,3,ADJ,1.0,3,['ADJ' 'ADJ']
42, doubt ,1,NOUN,0.75,3,['NOUN' 'NOUN' 'VERB' 'NOUN']
43, down ,1,ADP,0.7142857142857143,4,"['ADV' 'ADP' 'ADP' 'ADP' 'ADP' 'ADP' 'ADP' 'ADP' 'ADP' 'ADV' 'ADP' 'ADP'
 'ADP' 'ADV' 'ADP' 'ADV' 'ADP' 'ADP' 'ADP' 'ADV' 'ADV']"
44, down ,2,ADP,0.5,4,['ADV' 'ADP' 'ADJ' 'ADV' 'ADP' 'ADP']
45, dust ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
46, dust ,2,NOUN,1.0,2,['NOUN' 'NOUN']
47, end ,1,NOUN,1.0,8,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
48, end ,2,NOUN,0.6,8,['VERB' 'NOUN' 'NOUN' 'VERB' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB']
49, end ,4,NOUN,1.0,8,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
50, end ,5,NOUN,1.0,8,['NOUN' 'NOUN']
51, end ,6,NOUN,1.0,8,['NOUN' 'NOUN' 'NOUN']
52, end ,7,NOUN,1.0,8,['NOUN' 'NOUN']
53, estimate ,1,NOUN,0.5,3,['NOUN' 'VERB']
54, estimate ,2,VERB,0.5,3,['VERB' 'NOUN']
55, face ,1,NOUN,0.84,5,"['NOUN' 'NOUN' 'VERB' 'VERB' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
56, face ,2,VERB,0.7142857142857143,5,['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'NOUN' 'NOUN']
57, face ,3,NOUN,1.0,5,['NOUN' 'NOUN' 'NOUN']
58, garden ,1,NOUN,1.0,2,['NOUN' 'NOUN']
59, guard ,3,NOUN,0.5,2,['NOUN' 'VERB']
60, guess ,1,VERB,1.0,3,['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB']
61, guess ,2,NOUN,0.5,3,['NOUN' 'VERB']
62, hand ,1,NOUN,1.0,2,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
63, head ,1,NOUN,0.972972972972973,5,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
64, head ,2,NOUN,1.0,5,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
65, head ,3,NOUN,1.0,5,['NOUN' 'NOUN' 'NOUN']
66, key ,1,ADJ,0.6,2,['ADJ' 'NOUN' 'ADJ' 'ADJ' 'NOUN']
67, key ,2,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN']
68, love ,1,NOUN,0.7777777777777778,3,['NOUN' 'NOUN' 'NOUN' 'VERB' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
69, love ,2,VERB,0.6666666666666666,3,['VERB' 'VERB' 'NOUN']
70, love ,3,VERB,1.0,3,['VERB' 'VERB']
71, made ,1,VERB,1.0,13,"['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB']"
72, made ,2,VERB,1.0,13,"['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB']"
73, made ,3,VERB,1.0,13,"['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB']"
74, made ,5,VERB,1.0,13,['VERB' 'VERB' 'VERB']
75, made ,6,VERB,1.0,13,['VERB' 'VERB']
76, made ,7,VERB,1.0,13,['VERB' 'VERB' 'VERB']
77, made ,20,VERB,1.0,13,['VERB' 'VERB']
78, made ,21,VERB,1.0,13,['VERB' 'VERB' 'VERB']
79, man ,0,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
80, man ,1,NOUN,1.0,6,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
81, man ,2,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN']
82, man ,3,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
83, man ,4,NOUN,0.8,6,['PROPN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
84, march ,1,VERB,0.5,3,['VERB' 'PROPN']
85, milk ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN']
86, order ,1,NOUN,1.0,7,['NOUN' 'NOUN']
87, order ,2,NOUN,1.0,7,['NOUN' 'NOUN' 'NOUN']
88, permit ,1,VERB,0.8,2,['VERB' 'NOUN' 'VERB' 'VERB' 'VERB']
89, permit ,2,VERB,1.0,2,['VERB' 'VERB' 'VERB']
90, practice ,2,NOUN,1.0,3,['NOUN' 'NOUN']
91, practice ,3,NOUN,1.0,3,['NOUN' 'NOUN']
92, produce ,1,VERB,1.0,3,['VERB' 'VERB' 'VERB' 'VERB']
93, question ,1,NOUN,1.0,4,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
